node,ntype,size,unit,n_regions,bgc_class,label
"2-methoxy-5-methyl-6-(13-methyltetradecyl)-1,4-benzoquinone/2-methoxy-5-methyl-6-(13-methyltetradecyl)phenol",molecule,25.0,heavy_atoms,,,"2-methoxy-5-methyl-6-(13-methyltetradecyl)-1,4-benzoquinone/2-methoxy-5-methyl-6-(13-methyltetradecyl)phenol"
2-methylisoborneol,molecule,12.0,heavy_atoms,,,2-methylisoborneol
"5-acetyl-5,10-dihydrophenazine-1-carboxylic acid/5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid/endophenazine A1/endophenazine F/endophenazine G",molecule,23.0,heavy_atoms,,,"5-acetyl-5,10-dihydrophenazine-1-carboxylic acid/5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid/endophenazine A1/endophenazine F/endophenazine G"
5-dimethylallylindole-3-acetonitrile,molecule,17.0,heavy_atoms,,,5-dimethylallylindole-3-acetonitrile
AmfS,molecule,,heavy_atoms,,,AmfS
Azodyrecin A/Azodyrecin B/Azodyrecin C,molecule,24.0,heavy_atoms,,,Azodyrecin A/Azodyrecin B/Azodyrecin C
Bisenarsan,molecule,19.0,heavy_atoms,,,Bisenarsan
Ethylenediaminesuccinic acid hydroxyarginine,molecule,24.0,heavy_atoms,,,Ethylenediaminesuccinic acid hydroxyarginine
FW0622,molecule,,heavy_atoms,,,FW0622
JBIR-126,molecule,37.0,heavy_atoms,,,JBIR-126
SAL-2242,molecule,,heavy_atoms,,,SAL-2242
SF2768,molecule,24.0,heavy_atoms,,,SF2768
SGR PTMs/SGR PTM Compound b/SGR PTM Compound c/SGR PTM Compound d,molecule,36.0,heavy_atoms,,,SGR PTMs/SGR PTM Compound b/SGR PTM Compound c/SGR PTM Compound d
SapB,molecule,140.0,heavy_atoms,,,SapB
abyssomicin M/abyssomicin N/abyssomicin O/abyssomicin P/abyssomicin Q/abyssomicin R/abyssomicin S/abyssomicin T/abyssomicin U/abyssomicin V/abyssomicin W/abyssomicin X,molecule,27.0,heavy_atoms,,,abyssomicin M/abyssomicin N/abyssomicin O/abyssomicin P/abyssomicin Q/abyssomicin R/abyssomicin S/abyssomicin T/abyssomicin U/abyssomicin V/abyssomicin W/abyssomicin X
albaflavenone,molecule,16.0,heavy_atoms,,,albaflavenone
albusnodin,molecule,,heavy_atoms,,,albusnodin
"alnumycin A/alnumycin B/alnumycin C/alnumycin P/prealnumycin/thalnumycin A/thalnumycin B/K1115A/1,6-dihydro-8-propylanthraquinone",molecule,23.0,heavy_atoms,,,"alnumycin A/alnumycin B/alnumycin C/alnumycin P/prealnumycin/thalnumycin A/thalnumycin B/K1115A/1,6-dihydro-8-propylanthraquinone"
antipain,molecule,12.0,heavy_atoms,,,antipain
avermitilol,molecule,16.0,heavy_atoms,,,avermitilol
benzastatin J/7-hydroxyl benzastatin B/7-hydroxyl O-demethylbenzastatin A/JBIR-67/7-hydroxyl benzastatin F/7-hydroxyl O-demethylbenzastatin D/O-demethylvirantmycin/7-hydroxyl benzastatin D/virantmycin/benzastatin K/methylbenzastatin K,molecule,,heavy_atoms,,,benzastatin J/7-hydroxyl benzastatin B/7-hydroxyl O-demethylbenzastatin A/JBIR-67/7-hydroxyl benzastatin F/7-hydroxyl O-demethylbenzastatin D/O-demethylvirantmycin/7-hydroxyl benzastatin D/virantmycin/benzastatin K/methylbenzastatin K
candicidin,molecule,79.0,heavy_atoms,,,candicidin
carotenoid,molecule,52.0,heavy_atoms,,,carotenoid
coelibactin,molecule,7.0,heavy_atoms,,,coelibactin
coelichelin,molecule,39.0,heavy_atoms,,,coelichelin
combamide,molecule,,heavy_atoms,,,combamide
concanamycin A,molecule,61.0,heavy_atoms,,,concanamycin A
cycloheximide,molecule,20.0,heavy_atoms,,,cycloheximide
desferrioxamin B,molecule,39.0,heavy_atoms,,,desferrioxamin B
desferrioxamin B/desferrioxamine E,molecule,40.0,heavy_atoms,,,desferrioxamin B/desferrioxamine E
detoxin S1,molecule,37.0,heavy_atoms,,,detoxin S1
diastaphenazine/izumiphenazine C,molecule,29.0,heavy_atoms,,,diastaphenazine/izumiphenazine C
echoside A/echoside B/echoside C/echoside D/echoside E,molecule,34.0,heavy_atoms,,,echoside A/echoside B/echoside C/echoside D/echoside E
ectoine,molecule,10.0,heavy_atoms,,,ectoine
feglymycin,molecule,138.0,heavy_atoms,,,feglymycin
"flaviolin/1,3,6,8-tetrahydroxynaphthalene",molecule,15.0,heavy_atoms,,,"flaviolin/1,3,6,8-tetrahydroxynaphthalene"
fluostatin M/fluostatin N/fluostatin O/fluostatin P/fluostatin Q,molecule,25.0,heavy_atoms,,,fluostatin M/fluostatin N/fluostatin O/fluostatin P/fluostatin Q
friulimicin A/friulimicin B/friulimicin C/friulimicin D,molecule,91.0,heavy_atoms,,,friulimicin A/friulimicin B/friulimicin C/friulimicin D
geosmin,molecule,13.0,heavy_atoms,,,geosmin
germicidin,molecule,14.0,heavy_atoms,,,germicidin
griseobactin,molecule,11.0,heavy_atoms,,,griseobactin
grixazone A,molecule,28.0,heavy_atoms,,,grixazone A
homopiloquinone/piloquinone,molecule,26.0,heavy_atoms,,,homopiloquinone/piloquinone
hopene,molecule,33.0,heavy_atoms,,,hopene
huimycin,molecule,28.0,heavy_atoms,,,huimycin
humidimycin,molecule,151.0,heavy_atoms,,,humidimycin
informatipeptin,molecule,,heavy_atoms,,,informatipeptin
isorenieratene,molecule,40.0,heavy_atoms,,,isorenieratene
keywimysin,molecule,,heavy_atoms,,,keywimysin
kitacinnamycin A/kitacinnamycin B/kitacinnamycin C/kitacinnamycin D/kitacinnamycin E/kitacinnamycin F,molecule,9.0,heavy_atoms,,,kitacinnamycin A/kitacinnamycin B/kitacinnamycin C/kitacinnamycin D/kitacinnamycin E/kitacinnamycin F
lagmysin,molecule,107.0,heavy_atoms,,,lagmysin
legonaridin,molecule,,heavy_atoms,,,legonaridin
legonoxamine A/desferrioxamine B/legonoxamine B,molecule,39.0,heavy_atoms,,,legonoxamine A/desferrioxamine B/legonoxamine B
leupeptin Pr/leupeptin Ac,molecule,30.0,heavy_atoms,,,leupeptin Pr/leupeptin Ac
mediomycin A,molecule,82.0,heavy_atoms,,,mediomycin A
melanin,molecule,24.0,heavy_atoms,,,melanin
merochlorin A/merochlorin B/deschloro-merochlorin A/deschloro-merochlorin B/isochloro-merochlorin B/dichloro-merochlorin B/merochlorin D/merochlorin C,molecule,30.0,heavy_atoms,,,merochlorin A/merochlorin B/deschloro-merochlorin A/deschloro-merochlorin B/isochloro-merochlorin B/dichloro-merochlorin B/merochlorin D/merochlorin C
mirubactin,molecule,12.0,heavy_atoms,,,mirubactin
naringenin,molecule,20.0,heavy_atoms,,,naringenin
paenibactin,molecule,7.0,heavy_atoms,,,paenibactin
prunipeptin,molecule,122.0,heavy_atoms,,,prunipeptin
pyrroloformamide A/pyrroloformamide B/pyrroloformamide D/pyrroloformamide C,molecule,14.0,heavy_atoms,,,pyrroloformamide A/pyrroloformamide B/pyrroloformamide D/pyrroloformamide C
radamycin/globimycin,molecule,77.0,heavy_atoms,,,radamycin/globimycin
rhizomide A/rhizomide B/rhizomide C,molecule,7.0,heavy_atoms,,,rhizomide A/rhizomide B/rhizomide C
rotihibin A,molecule,9.0,heavy_atoms,,,rotihibin A
saccharothrixin D/saccharothrixin E/saccharothrixin F/saccharothrixin G/saccharothrixin H/saccharothrixin I/saccharothrixin J/saccharothrixin K/saccharothrixin L/saccharothrixin M,molecule,,heavy_atoms,,,saccharothrixin D/saccharothrixin E/saccharothrixin F/saccharothrixin G/saccharothrixin H/saccharothrixin I/saccharothrixin J/saccharothrixin K/saccharothrixin L/saccharothrixin M
scabichelin,molecule,45.0,heavy_atoms,,,scabichelin
sceliphrolactam,molecule,35.0,heavy_atoms,,,sceliphrolactam
spore pigment,molecule,,heavy_atoms,,,spore pigment
streptamidine,molecule,46.0,heavy_atoms,,,streptamidine
streptoketide A/streptoketide B/streptoketide C/S2502/S2507/UWM5,molecule,27.0,heavy_atoms,,,streptoketide A/streptoketide B/streptoketide C/S2502/S2507/UWM5
surugamide A/surugamide D,molecule,64.0,heavy_atoms,,,surugamide A/surugamide D
tripartilactam/niizalactam C,molecule,35.0,heavy_atoms,,,tripartilactam/niizalactam C
venezuelin,molecule,,heavy_atoms,,,venezuelin
α-lipomycin,molecule,42.0,heavy_atoms,,,α-lipomycin
γ-butyrolactone,molecule,6.0,heavy_atoms,,,γ-butyrolactone
ε-Poly-L-lysine,molecule,,heavy_atoms,,,ε-Poly-L-lysine
